"['/cfb/players/jonathan-brydon-1.html', '/cfb/players/brydon-1.html']",70,likely,
"['/cfb/players/sadale-foster-1.html', '/cfb/players/tanner-foster-1.html']",100,unsure,mismatching names and pos_group
"['/cfb/players/duke-delancellotti-1.html', '/cfb/players/delancellotti-1.html']",44,likely,
"['/cfb/players/robert-lowe-2.html', '/cfb/players/lowe-1.html']",60,likely,
"['/cfb/players/andy-erickson-1.html', '/cfb/players/andy-erickson-2.html']",52,likely,
"['/cfb/players/jerrid-jeter-gilmon-1.html', '/cfb/players/jeter-gilmon-1.html']",44,likely,
"['/cfb/players/zach-robinson-1.html', '/cfb/players/robinson-3.html']",55,likely,
"['/cfb/players/david-mims-ii-1.html', '/cfb/players/mims-1.html']",76,likely,
"['/cfb/players/hawkins-1.html', '/cfb/players/tim-hawkins-1.html']",50,likely,
"['/cfb/players/farris-1.html', '/cfb/players/david-farris-1.html']",53,likely,
"['/cfb/players/blaire-sullivan-1.html', '/cfb/players/sullivan-1.html']",57,likely,
"['/cfb/players/ian-hamilton-1.html', '/cfb/players/hamilton-1.html']",58,likely,
"['/cfb/players/trey-brown-2.html', '/cfb/players/brown-10.html']",70,likely,
"['/cfb/players/nick-dooley-1.html', '/cfb/players/dooley-2.html']",57,likely,
"['/cfb/players/lavorick-williams-1.html', '/cfb/players/lavorick-williams-2.html']",73,likely,
"['/cfb/players/kyle-brown-3.html', '/cfb/players/trey-brown-2.html']",70,unsure,mismatching names and pos_group
"['/cfb/players/freytag-2.html', '/cfb/players/cole-freytag-1.html']",48,likely,
"['/cfb/players/huhn-1.html', '/cfb/players/shane-huhn-1.html']",40,likely,
"['/cfb/players/irving-1.html', '/cfb/players/jamie-irving-1.html']",53,likely,
"['/cfb/players/trey-brown-2.html', '/cfb/players/kyle-brown-3.html']",100,unsure,mismatching names and pos_group
"['/cfb/players/royzell-smith-1.html', '/cfb/players/royzelll-smith-1.html']",67,likely,
"['/cfb/players/trey-brown-2.html', '/cfb/players/cornelius-brown-2.html']",67,unsure,mismatching names and pos_group
"['/cfb/players/melvin-stephenson-ii-1.html', '/cfb/players/melvin-stephenson-1.html']",52,likely,
"['/cfb/players/chucky-hunter-1.html', '/cfb/players/chuck-hunter-2.html']",63,likely,
"['/cfb/players/aundre-dean-1.html', '/cfb/players/aundre-dean-2.html']",55,likely,
"['/cfb/players/david-stoltzman-1.html', '/cfb/players/david-stolzman-1.html']",67,likely,
"['/cfb/players/travis-labhart-1.html', '/cfb/players/labhart-1.html']",50,likely,
"['/cfb/players/ricky-seals-jones-1.html', '/cfb/players/jones-4.html']",77,likely,
"['/cfb/players/ivan-robinson-1.html', '/cfb/players/robinson-2.html']",54,likely,
"['/cfb/players/nate-askew-1.html', '/cfb/players/askew-1.html']",50,likely,
"['/cfb/players/justin-bass-1.html', '/cfb/players/bass-1.html']",71,likely,
"['/cfb/players/toney-hurd-jr-1.html', '/cfb/players/tony-hurd-jr-1.html', '/cfb/players/hurd-1.html', '/cfb/players/toney-hurd-jr-2.html']",95,unsure,too many players in one season
"['/cfb/players/floyd-raven-1.html', '/cfb/players/floyd-raven-sr-1.html', '/cfb/players/floyd-raven-sr-3.html']",50,likely,
"['/cfb/players/josh-lambo-1.html', '/cfb/players/lambo-1.html']",50,likely,
"['/cfb/players/ryan-swope-1.html', '/cfb/players/swope-1.html']",61,likely,
"['/cfb/players/patrick-lewis-1.html', '/cfb/players/lewis-4.html']",62,likely,
"['/cfb/players/jonathan-mathis-1.html', '/cfb/players/mathis-1.html']",71,likely,
"['/cfb/players/toney-hurd-jr-1.html', '/cfb/players/tony-hurd-jr-1.html', '/cfb/players/hurd-1.html', '/cfb/players/toney-hurd-jr-2.html']",95,unsure,too many players in one season
"['/cfb/players/cj-jones-4.html', '/cfb/players/ricky-seals-jones-1.html']",77,unsure,mismatching names and pos_group
"['/cfb/players/toney-hurd-jr-1.html', '/cfb/players/tony-hurd-jr-1.html', '/cfb/players/hurd-1.html', '/cfb/players/toney-hurd-jr-2.html']",100,unsure,too many players in one season
"['/cfb/players/toney-hurd-jr-1.html', '/cfb/players/tony-hurd-jr-1.html', '/cfb/players/hurd-1.html', '/cfb/players/toney-hurd-jr-2.html']",95,unsure,too many players in one season
"['/cfb/players/brandal-jackson-1.html', '/cfb/players/jackson-5.html']",52,likely,
"['/cfb/players/ben-bass-1.html', '/cfb/players/justin-bass-1.html']",67,likely,
"['/cfb/players/domonique-patterson-1.html', '/cfb/players/patterson-1.html']",75,likely,
"['/cfb/players/randolph-1.html', '/cfb/players/will-randolph-1.html']",56,likely,
"['/cfb/players/lucas-patterson-1.html', '/cfb/players/domonique-patterson-1.html']",75,likely,
"['/cfb/players/ricky-seals-jones-1.html', '/cfb/players/cj-jones-4.html']",100,unsure,mismatching names and pos_group
"['/cfb/players/patrick-lewis-1.html', '/cfb/players/anthony-lewis-1.html']",100,unsure,mismatching names and pos_group
"['/cfb/players/patrick-lewis-1.html', '/cfb/players/anthony-lewis-1.html']",62,unsure,mismatching names and pos_group
"['/cfb/players/marlin-lane-jr-1.html', '/cfb/players/marlin-lane-jr-2.html']",61,likely,
"['/cfb/players/deanthoine-summerhill-1.html', '/cfb/players/deanthonie-summerhill-1.html']",52,likely,
"['/cfb/players/jordan-williams-2.html', '/cfb/players/dan-williams-2.html']",76,likely,
"['/cfb/players/gerlaldo-orta-1.html', '/cfb/players/geraldo-orta-1.html']",57,likely,
"['/cfb/players/kadeem-custis-1.html', '/cfb/players/kadeem-custia-1.html']",48,likely,
"['/cfb/players/marcus-green-3.html', '/cfb/players/green-4.html']",59,likely,
"['/cfb/players/chris-hutton-1.html', '/cfb/players/hutton-1.html']",63,likely,
"['/cfb/players/tomas-cabrera-1.html', '/cfb/players/cabrera-1.html']",64,likely,
"['/cfb/players/delano-green-1.html', '/cfb/players/marcus-green-3.html']",59,unsure,likely not same player
"['/cfb/players/marcus-green-3.html', '/cfb/players/delano-green-1.html']",100,unsure,likely not same player
"['/cfb/players/christopher-clark-1.html', '/cfb/players/clark-1.html']",53,likely,
"['/cfb/players/ryan-norton-2.html', '/cfb/players/ryan-nortan-1.html']",59,likely,
"['/cfb/players/rishard-anderson-2.html', '/cfb/players/rishard-anderson-1.html']",65,likely,
"['/cfb/players/reed-miller-1.html', '/cfb/players/miller-8.html']",48,likely,
"['/cfb/players/david-parry-1.html', '/cfb/players/parry-1.html']",64,likely,
"['/cfb/players/aziz-shittu-1.html', '/cfb/players/shittu-1.html']",43,likely,
"['/cfb/players/nate-whitaker-1.html', '/cfb/players/nate-whitaker-2.html']",53,likely,
"['/cfb/players/dominique-sullivan-1.html', '/cfb/players/dominque-sullivan-1.html']",45,likely,
"['/cfb/players/rakeem-nunez-roches-1.html', '/cfb/players/rakeem-nunez-1.html']",42,likely,
"['/cfb/players/burdette-1.html', '/cfb/players/justin-burdette-1.html']",50,likely,
"['/cfb/players/darrion-richardson-1.html', '/cfb/players/jr-richardson-1.html']",77,unsure,likely not same player
"['/cfb/players/horace-richardson-1.html', '/cfb/players/jr-richardson-1.html']",79,unsure,likely not same player
"['/cfb/players/darrion-richardson-1.html', '/cfb/players/horace-richardson-1.html', '/cfb/players/jr-richardson-1.html']",87,unsure,too many players in one season
"['/cfb/players/jay-scott-1.html', '/cfb/players/scott-4.html']",57,likely,
"['/cfb/players/austin-fuller-1.html', '/cfb/players/austin-fuller-2.html']",59,likely,
"['/cfb/players/jj-mcdermott-1.html', '/cfb/players/jj-mcdermott-2.html']",47,likely,
"['/cfb/players/jr-richardson-1.html', '/cfb/players/james-richardson-1.html']",79,likely,
"['/cfb/players/namdar-1.html', '/cfb/players/bradley-namdar-1.html']",47,likely,
"['/cfb/players/matt-szymanski-1.html', '/cfb/players/matt-szymanski-2.html']",48,likely,
"['/cfb/players/jalen-cope-fitzpatrick-1.html', '/cfb/players/jalen-cope-fitzpatric-1.html']",46,likely,
"['/cfb/players/joshua-shaw-1.html', '/cfb/players/josh-shaw-3.html']",56,likely,
"['/cfb/players/dajohn-harris-1.html', '/cfb/players/dajohn-harris-2.html']",71,likely,
"['/cfb/players/michael-morgan-2.html', '/cfb/players/michael-morgan-1.html']",80,likely,
"['/cfb/players/jordan-congdon-1.html', '/cfb/players/jordan-congdon-2.html']",60,likely,
