team_fullname,team_schoolname,team_href,capacity,city,team_abvname
South Alabama Jaguars,South Alabama,/cfb/schools/south-alabama/,40000.0,"Mobile, Alabama",SA Jaguars
South Carolina Gamecocks,South Carolina,/cfb/schools/south-carolina/,80250.0,"Columbia, South Carolina",SC Gamecocks
South Florida Bulls,South Florida,/cfb/schools/south-florida/,65857.0,"Tampa, Florida",SF Bulls
Southern Illinois Salukis,Southern Illinois,/cfb/schools/southern-illinois/,,"Carbondale, Illinois",SI Salukis
Southern Mississippi Golden Eagles,Southern Mississippi,/cfb/schools/southern-mississippi/,36000.0,"Hattiesburg, Mississippi",SM Golden Eagles
Stanford Cardinal,Stanford,/cfb/schools/stanford/,50000.0,"Stanford, California",Stanford Cardinal
Syracuse Orange,Syracuse,/cfb/schools/syracuse/,49250.0,"Syracuse, New York",Syracuse Orange
Temple Owls,Temple,/cfb/schools/temple/,68532.0,"Philadelphia, Pennsylvania",Temple Owls
Tennessee Volunteers,Tennessee,/cfb/schools/tennessee/,102455.0,"Knoxville, Tennessee",Tennessee Volunteers
Texas Longhorns,Texas,/cfb/schools/texas/,100119.0,"Austin, Texas",Texas Longhorns
Texas A&M Aggies,Texas A&M,/cfb/schools/texas-am/,83002.0,"College Station, Texas",TA Aggies
Texas Christian Horned Frogs,Texas Christian,/cfb/schools/texas-christian/,46000.0,"Fort Worth, Texas",TC Horned Frogs
Texas State Bobcats,Texas State,/cfb/schools/texas-state/,30000.0,"San Marcos, Texas",TS Bobcats
Texas Tech Red Raiders,Texas Tech,/cfb/schools/texas-tech/,58930.0,"Lubbock, Texas",TT Red Raiders
Texas-Arlington Mavericks,Texas-Arlington,/cfb/schools/texas-arlington/,,"Arlington, Texas",Texas-Arlington Mavericks
Toledo Rockets,Toledo,/cfb/schools/toledo/,26248.0,"Toledo, Ohio",Toledo Rockets
Troy Trojans,Troy,/cfb/schools/troy/,30000.0,"Troy, Alabama",Troy Trojans
Tulane Green Wave,Tulane,/cfb/schools/tulane/,30000.0,"New Orleans, Louisiana",Tulane Green Wave
Tulsa Golden Hurricane,Tulsa,/cfb/schools/tulsa/,30000.0,"Tulsa, Oklahoma",Tulsa Golden Hurricane
UAB Blazers,UAB,/cfb/schools/alabama-birmingham/,71594.0,"Birmingham, Alabama",UAB Blazers
UCF Knights,UCF,/cfb/schools/central-florida/,45301.0,"Orlando, Florida",UCF Knights
UCLA Bruins,UCLA,/cfb/schools/ucla/,92542.0,"Los Angeles, California",UCLA Bruins
USC Trojans,USC,/cfb/schools/southern-california/,93607.0,"Los Angeles, California",USC Trojans
Utah Utes,Utah,/cfb/schools/utah/,45017.0,"Salt Lake City, Utah",Utah Utes
Utah State Aggies,Utah State,/cfb/schools/utah-state/,30257.0,"Logan, Utah",US Aggies
UTEP Miners,UTEP,/cfb/schools/texas-el-paso/,52000.0,"El Paso, Texas",UTEP Miners
UTSA Roadrunners,UTSA,/cfb/schools/texas-san-antonio/,65000.0,"San Antonio, Texas",UTSA Roadrunners
Vanderbilt Commodores,Vanderbilt,/cfb/schools/vanderbilt/,41448.0,"Nashville, Tennessee",Vanderbilt Commodores
Virginia Cavaliers,Virginia,/cfb/schools/virginia/,61500.0,"Charlottesville, Virginia",Virginia Cavaliers
Virginia Military Institute Keydets,Virginia Military Institute,/cfb/schools/virginia-military-institute/,,"Lexington, Virginia",VMI Keydets
Virginia Tech Hokies,Virginia Tech,/cfb/schools/virginia-tech/,66233.0,"Blacksburg, Virginia",VT Hokies
Wake Forest Demon Deacons,Wake Forest,/cfb/schools/wake-forest/,31500.0,"Winston-Salem, North Carolina",WF Demon Deacons
Washington Huskies,Washington,/cfb/schools/washington/,72500.0,"Seattle, Washington",Washington Huskies
Washington State Cougars,Washington State,/cfb/schools/washington-state/,35117.0,"Pullman, Washington",WS Cougars
West Texas A&M Buffaloes,West Texas A&M,/cfb/schools/west-texas-am/,,"Canyon, Texas",WTA Buffaloes
West Virginia Mountaineers,West Virginia,/cfb/schools/west-virginia/,60000.0,"Morgantown, West Virginia",WV Mountaineers
Western Carolina Catamounts,Western Carolina,/cfb/schools/western-carolina/,,"Cullowhee, North Carolina",WC Catamounts
Western Kentucky Hilltoppers,Western Kentucky,/cfb/schools/western-kentucky/,22000.0,"Bowling Green, Kentucky",WK Hilltoppers
Western Michigan Broncos,Western Michigan,/cfb/schools/western-michigan/,30200.0,"Kalamazoo, Michigan",WM Broncos
Wichita State Shockers,Wichita State,/cfb/schools/wichita-state/,,"Wichita, Kansas",WS Shockers
William & Mary Tribe,William & Mary,/cfb/schools/william-mary/,,"Williamsburg, Virginia",W&M Tribe
Wisconsin Badgers,Wisconsin,/cfb/schools/wisconsin/,80321.0,"Madison, Wisconsin",Wisconsin Badgers
Wyoming Cowboys,Wyoming,/cfb/schools/wyoming/,29181.0,"Laramie, Wyoming",Wyoming Cowboys
Yale Bulldogs,Yale,/cfb/schools/yale/,,"New Haven, Connecticut",Yale Bulldogs
