1111,Greenville,
264,Grinnell,
265,Grove City,
1112,Guilford,
266,Gust. Adolphus,
12399,Gwynedd Mercy,
267,Hamilton,
268,Hamline,
269,Hampden-Sydney,
270,Hampton,Hampton
1115,Hanover,
271,Hardin-Simmons,
1116,Harding,
272,Hartford,
273,Hartwick,
275,Harvard,Harvard
30113,Hastings,
276,Haverford,
277,Hawaii,Hawaii
2697,Hawaii Hilo,
2696,Hawaii Pacific,
502100,Hawthorne,
278,Heidelberg,
502112,Hellenic,
1123,Henderson St.,
1124,Hendrix,
19651,High Point,
8398,Hilbert,
280,Hillsdale,
281,Hiram,
282,Hobart,
283,Hofstra,
284,Hollins,
285,Holy Cross,Holy Cross
506345,Holy Cross (IN),
1126,Holy Family,
30175,Holy Names,
8404,Hood,
286,Hope,
30160,Houghton,
288,Houston,Houston
287,Houston Baptist,Houston Baptist
290,Howard,Howard
506444,Howard College,
2741,Howard Payne,
291,Humboldt St.,
292,Hunter,
1130,Huntingdon,
502195,Huntington,
1133,Husson,
502215,Huston-Tillotson,
295,Idaho,Idaho
294,Idaho St.,Idaho State
30172,IIT,
502260,IIT,
502239,Ill. Central,
300,Ill. Wesleyan,
302,Ill.-Chicago,
30050,Ill.-Springfield,
506079,Ill.-Springfield,
301,Illinois,Illinois
297,Illinois Col.,
299,Illinois St.,Illinois State
303,Immaculata,
2743,Incarnate Word,
306,Indiana,Indiana
307,Indiana (PA),
305,Indiana St.,Indiana State
502330,Indiana Tech,
310,Iona,
312,Iowa,Iowa
311,Iowa St.,Iowa State
506037,Iowa Wesleyan,
30173,Iowa Wesleyan,
313,Ithaca,
2699,IUPUI,
314,Jackson St.,Jackson State
316,Jacksonville,Jacksonville
315,Jacksonville St.,Jacksonville State
317,James Madison,James Madison
506057,Jamestown,
506004,Jarvis Christian,
320,John Carroll,
321,John Jay,
322,Johns Hopkins,
22626,Johnson & Wales (RI),
323,Johnson C. Smith,
324,Johnson St.,
325,Juniata,
326,Kalamazoo,
506103,Kan. Wesleyan,
328,Kansas,Kansas
327,Kansas St.,Kansas State
329,Kean,
330,Keene St.,
1157,Kennesaw St.,Kennesaw State
331,Kent St.,Kent State
334,Kentucky,Kentucky
332,Kentucky St.,
335,Kenyon,
1159,Keuka,
30047,Keystone,
30051,King (TN),
502530,King's (NY),
336,King's (PA),
337,Knox,
506038,Knoxville,
339,Kutztown,
333,Ky. Wesleyan,
1163,La Roche,
340,La Salle,
30043,La Sierra,
341,La Verne,
