"","(Intercept)"
"2011_151",2.95343864349408
"2011_152",-3.76752045392396
"2011_153",-4.54190514192389
"2011_154",-0.647350781599013
"2011_155",3.79565111893067
"2011_158",-6.69461130128983
"2011_16",-0.277299295600263
"2011_160",4.82260168262467
"2011_164",-9.01930789027145
"2011_166",7.44939774075515
"2011_167",9.19189328481202
"2011_183",-1.73453909986301
"2011_189",-0.42837728526776
"2011_193",-5.1928399003881
"2011_194",-8.33862839367888
"2011_195",-2.9121769597658
"2011_197",-7.20872905520085
"2011_2",-1.73919103901551
"2011_2005",-0.251679299961824
"2011_2006",9.98786658856354
"2011_201",-9.75747091659916
"2011_2011",-3.85677492678213
"2011_202",-3.00838116574898
"2011_2026",12.0215484005814
"2011_2032",-5.25092894804962
"2011_204",-3.19699524078031
"2011_2046",12.4204719969018
"2011_2050",3.11663395002094
"2011_2065",4.55029268268272
"2011_2084",2.45608412480372
"2011_21",-3.55932110454467
"2011_2110",8.96336976092967
"2011_2116",-6.89889046759317
"2011_2117",4.23270939008543
"2011_2127",15.7331185750556
"2011_213",-13.2011756914303
"2011_2132",-6.54849585540164
"2011_218",-10.1208866965499
"2011_2197",2.3839494150852
"2011_2198",-10.0394652946211
"2011_2199",-3.31670930482092
"2011_221",-6.0576690110543
"2011_2210",4.16615731480121
"2011_222",3.71149319261081
"2011_2226",6.25012703566121
"2011_2229",-4.9824910649803
"2011_2230",8.23471009860294
"2011_2241",3.34634368396687
"2011_2247",2.21065375911173
"2011_227",-3.18145227437969
"2011_228",-2.50037668941496
"2011_2294",-4.47838379385237
"2011_23",0.153363836764848
"2011_2305",7.18819322037484
"2011_2306",-4.14411757944548
"2011_2309",-4.07485254482657
"2011_231",7.66982597873965
"2011_233",3.51722467821469
"2011_2335",3.99737716882184
"2011_2348",-6.20178322293176
"2011_235",7.29418376357319
"2011_236",1.4795157727823
"2011_2377",5.08379048307899
"2011_238",-7.39591013063364
"2011_239",2.74555227980574
"2011_2390",-7.76650255784006
"2011_2393",9.1756777147368
"2011_24",-9.3543622873237
"2011_2415",10.2171551880537
"2011_242",1.86211208947591
"2011_2426",0.164761721158878
"2011_2428",6.09182518684169
"2011_2433",-2.02463331620866
"2011_2439",9.17535340090556
"2011_2440",-3.51895548455928
"2011_2447",0.847408016671745
"2011_2449",-0.811713015990036
"2011_245",-3.90011259759066
"2011_2450",5.47141687181747
"2011_2458",3.21279037885059
"2011_2459",1.85783955145416
"2011_2460",-3.38116303848791
"2011_2464",1.9572966728727
"2011_2466",4.5460725498453
"2011_248",-2.97756691757762
"2011_2483",-6.77308665334961
"2011_249",1.41827635155863
"2011_25",-6.88310467805092
"2011_2502",4.6912065485367
"2011_2506",10.6093965979794
"2011_2509",-1.58111308301076
"2011_251",-9.38196980929537
"2011_252",-5.81471786637291
"2011_253",-2.10906953054427
"2011_2534",10.321953318501
"2011_2535",1.15989155919409
"2011_254",-9.42942474336126
"2011_2545",9.69703666869279
"2011_2546",10.1228946450842
"2011_256",3.07403113179684
"2011_2567",-4.30881664990176
"2011_2569",0.893928532051765
"2011_257",-3.07686919690404
"2011_2571",10.1639037888093
"2011_2572",-5.7148557933236
"2011_2579",-9.61322497385227
"2011_258",-5.59120169315538
"2011_259",-10.8715593687981
"2011_26",-1.46510857836445
"2011_2617",0.798817850077908
"2011_2619",2.5595604587901
"2011_2623",4.36487518286799
"2011_2628",-5.56861578476094
"2011_2630",8.36302534101478
"2011_2633",-7.09643981732077
"2011_2634",9.95067027835245
"2011_2635",-0.0561242298500029
"2011_2638",1.36598880816043
"2011_264",1.04243077600943
"2011_2641",6.30906097764842
"2011_2643",2.0870788799082
"2011_2649",1.53361753729648
"2011_265",1.14748117218255
"2011_2653",3.93617367274365
"2011_2655",8.39004526522067
"2011_2678",5.25137673952143
"2011_2692",6.49759905995345
"2011_2710",12.1438887882257
"2011_2711",-0.211501368732711
"2011_2717",9.35979336205381
"2011_2729",4.44388992889066
"2011_2747",-1.38574613769322
