"","(Intercept)"
"2010_2506",-2.47786163886869
"2010_2509",-5.45645722070731
"2010_251",-2.3565028599771
"2010_252",-1.90118742347921
"2010_253",-5.7770460892075
"2010_2534",-7.58712610028484
"2010_2535",-3.6214804610195
"2010_254",8.40699986589906
"2010_2545",-5.2330558711684
"2010_2546",-6.91461162852187
"2010_256",2.16478607635562
"2010_2567",-1.49607390980709
"2010_2569",-4.37133466193482
"2010_257",-4.06978773489212
"2010_2571",-3.86038210005166
"2010_2572",6.09799346132775
"2010_2579",7.33810547958647
"2010_258",-0.00869697716653508
"2010_259",9.55339019119814
"2010_26",-2.06440989053615
"2010_2617",-2.99951853739966
"2010_2619",-1.60491691356474
"2010_2623",-0.253882412150748
"2010_2628",13.6835065648631
"2010_2630",-6.95302923362552
"2010_2633",1.58807562187813
"2010_2635",-5.27074909526093
"2010_2638",-5.50713107308756
"2010_264",1.37658138253276
"2010_2640",-5.75088932381697
"2010_2641",4.8740289720115
"2010_2643",-3.56326318847409
"2010_2649",0.616584457670356
"2010_265",-1.81617362866885
"2010_2653",2.93654598260511
"2010_2655",-3.04999169020422
"2010_2678",-8.77188894330921
"2010_2692",-1.51152649271987
"2010_2710",-0.844116393630653
"2010_2711",2.93363347191891
"2010_2717",-3.86319476785059
"2010_2729",-0.273831247175887
"2010_2747",-4.5525331644308
"2010_275",13.7508774595205
"2010_2751",-4.99275735037113
"2010_2754",-1.69195883424623
"2010_2755",-7.41702199079691
"2010_276",-5.94981228572401
"2010_277",2.08774382920119
"2010_278",3.06207099924881
"2010_282",-6.23751780630585
"2010_290",-4.17661513379199
"2010_30",7.74036155621563
"2010_302",-6.92575231985537
"2010_304",-5.78402185613359
"2010_309",-5.61233876196736
"2010_311",-1.4567641494574
"2010_324",-4.35992779187007
"2010_326",-0.477185465701515
"2010_328",-3.14845638735451
"2010_331",1.28419745288194
"2010_333",8.67029757704214
"2010_344",0.909363227414863
"2010_349",0.485969034657476
"2010_356",6.42776405014146
"2010_36",-7.72342528723233
"2010_38",0.0709485046218423
"2010_41",1.67721350411012
"2010_5",-2.08647038907326
"2010_50",-5.38650994860115
"2010_52",8.12529827066642
"2010_55",6.93159824560045
"2010_57",5.96947760793624
"2010_58",-1.08134071119618
"2010_59",2.39481061966812
"2010_61",7.92418220050815
"2010_62",9.93662302059008
"2010_66",-1.44702810687444
"2010_68",17.1761538903555
"2010_70",1.4494024334627
"2010_77",-0.681901609756812
"2010_79",-5.93267469406273
"2010_8",12.0608933675281
"2010_84",0.702324111780254
"2010_87",1.6531391859282
"2010_9",7.78098122558682
"2010_96",6.10412054959422
"2010_97",0.887397184832954
"2010_98",-4.12474280030982
"2010_99",5.091708181515
"2011_103",-5.62334715359797
"2011_113",-0.980398753442095
"2011_119",-9.24996988396766
"2011_12",5.1118461043678
"2011_120",-0.322315343445345
"2011_127",5.00590417565998
"2011_13",0.341627019104778
"2011_130",8.77587708641166
"2011_135",-4.46520843441653
"2011_142",4.74004841426346
