"","id","off_int","off_var","def_int","def_var","season","team_schoolname"
"997",349,-1.97097141953336,9.28925085351961,6.83931225478554,9.37266076025869,2012,"Army"
"998",349,-3.62219636250856,9.52364412614128,4.16291196850352,9.59429204134702,2014,"Army"
"999",349,1.37400199199089,9.33074413658894,-6.20386775701033,9.41000153732389,2017,"Army"
"1000",349,1.12143614418191,10.2703453238701,-6.65838951189989,10.3536185180212,2016,"Army"
"1001",349,-5.29085983001139,9.51422826074703,-0.529361037306435,9.58488068300889,2015,"Army"
"1002",356,-7.59031039369113,9.2555329049835,1.0234232361826,9.34370198553646,2017,"Illinois"
"1003",356,-8.7536749557904,9.40420351400038,-0.0895177948150186,9.48421733302568,2012,"Illinois"
"1004",356,0.47654180853541,9.43693007508353,0.280209702613857,9.51728969842396,2009,"Illinois"
"1005",356,6.42905290933754,9.44103333669468,-4.48059961411485,9.52111886386193,2010,"Illinois"
"1006",356,-4.24153371737361,9.45126148461452,0.565266361358512,9.53183037558142,2016,"Illinois"
"1007",356,1.40272439983576,9.37304972730783,1.90397590450154,9.45292732089814,2014,"Illinois"
"1008",356,-2.75536212081619,9.40429879637114,-8.87673626008799,9.48429245860128,2011,"Illinois"
"1009",356,3.2173909689142,9.41031211362453,4.02603880309882,9.4905366556767,2013,"Illinois"
"1010",356,-0.878934661997642,9.38912779768588,-6.14575087894975,9.46892815874778,2015,"Illinois"
"1011",399,-4.28833725225857,41.2572143299799,2.67085666710903,43.239764880351,2017,"Albany"
"1012",399,-2.9138154465914,41.260178107547,-2.24607321665684,43.2429715682949,2016,"Albany"
"1013",399,-8.10267409010875,41.3660596547122,8.92303497079261,43.3644754789266,2013,"Albany"
"1014",399,-4.67944384432612,41.3432457286464,6.96098671634471,43.3323345431128,2015,"Albany"
"1015",2000,-7.61168187043063,31.205412921324,4.29397572200063,32.3191720221652,2017,"Abilene Christian"
"1016",2000,1.23316337706398,31.2569142368582,5.67132892844178,32.3733234209495,2014,"Abilene Christian"
"1017",2000,-3.91608434377963,41.2484178516071,3.66722306654342,43.230233643651,2013,"Abilene Christian"
"1018",2000,-7.01346362653461,41.2631898534161,2.30747877685701,43.2462484281772,2015,"Abilene Christian"
"1019",2000,-0.582813779355325,41.3439704687316,0.701901959962315,43.3330716622838,2016,"Abilene Christian"
"1020",2005,4.72353161505325,9.40636710987384,3.5259975857075,9.48640270287773,2017,"Air Force"
"1021",2005,1.90204330811708,9.4545490239867,-9.18310610068195,9.53501210857684,2009,"Air Force"
"1022",2005,-0.19533505996244,9.29956942288813,-3.412888863674,9.38545418799809,2014,"Air Force"
"1023",2005,-3.62425642736999,9.41641323624244,9.42074573706332,9.49662361966562,2013,"Air Force"
"1024",2005,-0.819019414194534,9.37463715071733,0.472329936503185,9.45893751128598,2012,"Air Force"
"1025",2005,5.22307710351989,8.79066309467249,-5.03689072119839,8.86008704149259,2015,"Air Force"
"1026",2005,4.80831036882364,9.45012827539896,-5.55481655470197,9.53028850273424,2010,"Air Force"
"1027",2005,3.4303362917758,10.1008806295632,-3.99231623438464,10.1945951749594,2016,"Air Force"
"1028",2005,4.68990498508657,9.53745287300984,-0.259083819669306,9.61306659637344,2011,"Air Force"
"1029",2006,-6.30641494115298,9.35593455434896,-2.46264590031084,9.43981121715136,2014,"Akron"
"1030",2006,-6.75872560766181,9.38633279082344,-1.29619992334667,9.46607846872314,2013,"Akron"
"1031",2006,-9.00760423351331,10.1097172050314,9.98909809135018,10.2032681498023,2011,"Akron"
"1032",2006,-4.32443449165149,9.32521692338939,-6.3634789452925,9.40892348986957,2015,"Akron"
"1033",2006,-9.91869239626045,9.40928200154112,8.11338907020693,9.48946878466357,2010,"Akron"
"1034",2006,-4.74710884160116,10.1606402553145,2.29660399282886,10.2540943985607,2009,"Akron"
"1035",2006,-3.17759559935111,8.81838639600662,-3.41423980346019,8.89201434646456,2017,"Akron"
